screenName,name,bio,followersCount,tweetsCount,friendsCount
shekharyadava,shuarya kamalvanshi,"- https://t.co/sP7793xTi7
- Incoming AMTS @salesforce | Ex Intern- Salesforce, Aviate
- Linkedin Coachin'22 | SIH 2022 🥇
- IIITV'24
- Backend ⚒️
- @Im_Madhur_Gupta ❤️",19,9,82
Mugdha_s27,Mugdha Sharma,"https://t.co/0b0mQ5hGZL
Typescript ❤️||Graphql || MERN || Flutter|| Postman Student Expert||Competitive programmer|| Gssoc'22",240,104,338
m4lw4r3_01,Debayan #statuscode0,"Embedded systems (IoT,Automation System)designer💻🚦..Ai System developer..3D 
object Design ..Student of knowledge...🌹🎓..Proudly GITAMite et ABUsite 🦾",42,123,855
Jamih_ad,JÃ£mih Adegoke,"Thapar ACM Student Chapter| IITJ | IITH
21
TIET CSE'24
Proud Indian🇮🇳",42,114,226
SajeevYadav4,Sajeev Yadav,Web Developer • Passion for Open Source • Learning new tech skills to create impactful projects!,13,52,265
patelmuhammad03,Patel Muhammad,Money is Everything.  💸,25,70,75
ImAshJadhav,Ashish Jadhav,,7,11,90
_Abhishek_P7,ðŸ’›ðŸ’›,"I seriously don't know anything, I am just here for tech, building things and jokes.
DTU '25",35,1925,342
callmeaaryan,Aaryan Mishra,"Bihari, hairy, rural creep. 🌱 Burnt in melanin. ✨
Cursed, endless love. ❤️🇮🇳🏳️‍🌈🕉️
SDE @TravelopiaGroup ✈ Indie Musician @Spotify 🎶
📍 BLR • MZPR • LKO",32,183,282
ParamSiddharth,Param Siddharth Manu (ð‘‚£ð‘‚©ð‘‚§),,1048,4648,4747
ashwin_bv1,Ashwin Kumar B V,Student,5,3,91
YUVARAJ26452974,YUVARAJ MORLA,"Life is too short to be sad, So KEEP SMILING !!!!",4,463,7
Harsh212003,Harsh,"RKM Insititute is a comprehensive, multi-campus public institution of higher education for students looking to master various careers.",5,5,36
RkmUniversity,RKM INSTITUTE,A genius should have 99% perspiration and 1% inspiration,15,420,87
BitLegion7,Reep ^=^,#Physics♥️#Nature 🌴🌄💜#Music 🎹🎤🎊💙#Books📖💜🎊#Rain⛈️⛈️☔🌈❤️#ChikenBiriyani 😋🤩#Cricket🏏💕,49,40,378
PareshK97721547,PARESH KUMAR SAHOO~à¬ªà¬°à­‡à¬¶ à¬•à­à¬®à¬¾à¬° à¬¸à¬¾à¬¹à­,"🥇 National App Development Gold Medalist , Learner, Explorer, Contributing Open-Source and App Developer 💻.",17,373,712
akarsh__jain,Akarsh Jain,,149,165,665
Simran_NN,Sidd,,4,272,84
HariSan40710324,Hari Sankar Das,Community lead @gdsctsec | @getpostman student expert | @SIH2022_MIC winner | web developer 🚀,1,0,101
Harsh_h_shah,Harsh Shah,"👨‍💻 Tech enthusiast | 💡 Innovator | 🌍 World traveler | 📚 Lifelong learner | Passionate about AI, gadgets, and sustainable living |",398,364,731
Vibhap60,Vibhav,Tech enthusiast & Notion lover | Computer Science Engineering Student | Learning Web Development | C | DSA (Cpp) 🚀💙,14,183,296
Chetany0724,Chetan Yadav,,159,568,419
Mahesh28979659,Mahesh,,921,22374,1414
embwaetaluma,kayanja Nicholas,Penetration Testing Intern at Virtually Testing Foundation,114,179,950
KanereVidhi,Vidhi Kanere,,26,1,93
Nischal_Ad,Nischal Adhikari,git said green flags only ^,3,12,96
aanyakx,Aanya Panigrahi,,0,4,6
himanshi_nayak4,Himanshi Nayak,"We're all connected together, somehow.",2,0,19
Neilzblaze007,Pratyay Banerjee (à¦¨à§€à¦²) î¨€,,154,5099,1897
tamizh__98,Tamil selvan,always stay with positive passion.,0,4,6
ShyamaBariha,Bariha.S,Bundelkhand University,12,24,523
rajputvishal077,VISHAL SINGH,If you don’t follow me back it’s your loss because I have nothing to lose,35,17,47
satishp132,Ñ•Î±Ñ‚Î¹Ñ•Ð½ ÏÑÎ±ÊÎ±ÏÎ±Ñ‚Î¹,Software Engineer / Cyber security,33,22,140
Aj_Bade_,Ajay Bade,Let's do it..,13,19,127
SATYAMR98092260,SATYAM MISHRA,,2,19,38
ankit_op_,Ankit ðŸ‡®ðŸ‡³,,32,1217,313
Parakh_25,Parakh Gupta,,50,58,1427
MohiuddinShoeb,saul goodman,: ),3,18,274
aashishh_09_,Ashish,"I code sometimes!!!
(Downfall chal rha hai 🙂)",4,23,34
ultra_max_pro,Shikhar Singh,I'm currently pursuing btech computer science engineering in lovely professional University Jalandhar Punjab.,66,194,655
Kavitak98159420,Kavita kumari,java • dsa/leetcode • web dev • cse'25,3,12,98
PrathamRohra9,Pratham Rohra,,222,1137,907
arunkarthick_a,Arunkarthick A K,,1,0,74
Shekhargayen13,Shekhar Gayen,"I am a Computer Science Engineer
Developer
Tech Enthusiast",0,2,4
SaravavnanM,SARAVANAN MANIKANDAN,A Weeb who loves to Code 😪,5,203,165
RimoGhosh19,Rimo Ghosh,,50,76,608
VishalYadav_5,Vishal Yadav,,4,60,50
ChetanS34458063,Chetan Suryawanshi,#CodeWithSujit,8,4,114
sujitmicrosoft,sujit kumar sah,,3,43,94
MenakaRamasami,Menaka Ramasami,No description,1,0,22
3142_akay,3142Akay,master,8,88,84
daudkha62969101,daud jai hind ðŸ‡®ðŸ‡³,Student,121,3,2971
